,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right
556,stimulus/incompatible/target_left,,0.3369140625,,,0.0,
558,stimulus/incompatible/target_left,,0.3134765625,,1.466796875,0.0,
560,stimulus/compatible/target_right,,0.3505859375,,0.0,,
562,stimulus/incompatible/target_right,,0.4560546875,,,,0.0
564,stimulus/incompatible/target_left,0.43359375,,,,0.0,
566,stimulus/incompatible/target_left,0.4736328125,,,,0.0,
568,stimulus/incompatible/target_left,0.4267578125,,,,0.0,1.4658203125
570,stimulus/incompatible/target_right,,0.45703125,,1.3994140625,,0.0
572,stimulus/compatible/target_right,,0.41015625,,0.0,1.4833984375,
574,stimulus/incompatible/target_left,0.4384765625,,1.4658203125,,0.0,
576,stimulus/compatible/target_left,0.31640625,,0.0,,,
578,stimulus/compatible/target_left,0.34765625,,0.0,,,
580,stimulus/incompatible/target_right,0.3505859375,,,,,0.0
582,stimulus/compatible/target_right,,0.439453125,,0.0,,
584,stimulus/incompatible/target_left,0.5,,1.4326171875,,0.0,
586,stimulus/compatible/target_left,0.53125,,0.0,,,
588,stimulus/compatible/target_left,0.5263671875,,0.0,,,
590,stimulus/compatible/target_left,0.3876953125,,0.0,,,
592,stimulus/compatible/target_left,0.3564453125,,0.0,,,
594,stimulus/incompatible/target_left,0.6708984375,,,1.482421875,0.0,
596,stimulus/compatible/target_right,,0.4931640625,,0.0,,
598,stimulus/incompatible/target_right,,0.4091796875,1.4501953125,,,0.0
600,stimulus/compatible/target_left,0.3994140625,,0.0,,1.4990234375,
602,stimulus/incompatible/target_left,,0.412109375,,,0.0,1.5
604,stimulus/incompatible/target_right,0.328125,,,,,0.0
606,stimulus/compatible/target_left,0.484375,,0.0,1.4833984375,,
608,stimulus/compatible/target_right,,0.392578125,,0.0,,
610,stimulus/compatible/target_right,,0.4267578125,,0.0,,
612,stimulus/compatible/target_right,,0.4052734375,,0.0,,
614,stimulus/incompatible/target_right,0.4150390625,,,,,0.0
616,stimulus/incompatible/target_left,0.5712890625,,,,0.0,
618,stimulus/incompatible/target_left,0.5625,,,,0.0,1.4169921875
620,stimulus/incompatible/target_right,0.384765625,,,,,0.0
622,stimulus/incompatible/target_right,0.294921875,,,1.44921875,,0.0
624,stimulus/compatible/target_right,,0.318359375,,0.0,,
626,stimulus/compatible/target_right,,0.3681640625,,0.0,1.4990234375,
628,stimulus/incompatible/target_left,,0.373046875,1.416015625,,0.0,
630,stimulus/compatible/target_left,0.4931640625,,0.0,,,1.5
632,stimulus/incompatible/target_right,,0.46484375,,,,0.0
634,stimulus/compatible/target_left,0.3623046875,,0.0,,,
636,stimulus/compatible/target_right,,0.4755859375,,0.0,,
638,stimulus/compatible/target_right,,0.3701171875,,0.0,,
640,stimulus/incompatible/target_right,,0.2939453125,,,,0.0
642,stimulus/compatible/target_right,,0.416015625,,0.0,1.4833984375,
644,stimulus/incompatible/target_left,0.484375,,1.4658203125,,0.0,
646,stimulus/compatible/target_left,0.38671875,,0.0,,,1.416015625
648,stimulus/incompatible/target_right,,0.4580078125,,1.466796875,,0.0
650,stimulus/compatible/target_right,,0.3994140625,,0.0,,
652,stimulus/compatible/target_left,0.37109375,,0.0,1.5,,
654,stimulus/compatible/target_right,,0.3515625,,0.0,,
656,stimulus/compatible/target_right,,0.36328125,,0.0,,
658,stimulus/compatible/target_left,0.390625,,0.0,,,1.4658203125
660,stimulus/incompatible/target_right,,0.388671875,1.4990234375,,,0.0
662,stimulus/compatible/target_left,0.353515625,,0.0,,,
664,stimulus/compatible/target_left,0.37890625,,0.0,,,
666,stimulus/incompatible/target_right,,0.451171875,1.44921875,,,0.0
668,stimulus/compatible/target_left,0.41796875,,0.0,,,1.4833984375
670,stimulus/incompatible/target_right,,0.4228515625,,,,0.0
672,stimulus/incompatible/target_right,,0.4228515625,,,,0.0
674,stimulus/compatible/target_right,,0.3671875,,0.0,,
676,stimulus/incompatible/target_left,0.4248046875,,,,0.0,1.466796875
678,stimulus/incompatible/target_right,0.3896484375,,,,,0.0
680,stimulus/incompatible/target_left,0.392578125,,,,0.0,1.4169921875
682,stimulus/incompatible/target_right,,0.3671875,,,1.482421875,0.0
684,stimulus/incompatible/target_left,,0.31640625,,,0.0,
686,stimulus/incompatible/target_right,,0.421875,,,,0.0
688,stimulus/incompatible/target_left,0.4951171875,,,,0.0,
690,stimulus/compatible/target_left,0.4501953125,,0.0,,,
692,stimulus/compatible/target_left,0.3427734375,,0.0,1.466796875,,
694,stimulus/compatible/target_right,,0.404296875,,0.0,1.3994140625,
696,stimulus/incompatible/target_left,0.396484375,,,,0.0,
698,stimulus/incompatible/target_left,0.4814453125,,,,0.0,
700,stimulus/incompatible/target_left,0.3876953125,,,,0.0,
702,stimulus/compatible/target_right,,0.390625,,0.0,,
704,stimulus/compatible/target_right,,0.3076171875,1.44921875,0.0,,
706,stimulus/compatible/target_left,0.4423828125,,0.0,1.466796875,,
708,stimulus/compatible/target_right,,0.3671875,,0.0,,
710,stimulus/compatible/target_left,0.4423828125,,0.0,,,1.5
712,stimulus/incompatible/target_right,,0.478515625,,,,0.0
714,stimulus/incompatible/target_left,0.7216796875,,,,0.0,
716,stimulus/incompatible/target_left,0.4765625,,,,0.0,
718,stimulus/compatible/target_right,,0.4169921875,,0.0,,1.3994140625
720,stimulus/incompatible/target_right,,0.4091796875,,,,0.0
722,stimulus/incompatible/target_right,,0.439453125,,,,0.0
724,stimulus/compatible/target_left,0.2890625,,0.0,,,
726,stimulus/compatible/target_left,0.46484375,,0.0,,,
728,stimulus/compatible/target_left,0.376953125,,0.0,1.44921875,,
730,stimulus/compatible/target_right,,0.3916015625,,0.0,,
732,stimulus/compatible/target_left,0.4326171875,,0.0,,1.4658203125,
734,stimulus/incompatible/target_left,0.52734375,,,,0.0,
736,stimulus/compatible/target_left,0.41796875,,0.0,,,
738,stimulus/compatible/target_left,0.40234375,,0.0,,,
740,stimulus/incompatible/target_left,0.5234375,,,,0.0,
742,stimulus/incompatible/target_left,0.427734375,,,,0.0,
744,stimulus/incompatible/target_left,0.533203125,,,,0.0,
746,stimulus/compatible/target_right,,0.478515625,,0.0,1.4990234375,
748,stimulus/incompatible/target_left,0.4111328125,,,,0.0,
750,stimulus/incompatible/target_right,0.2939453125,,,1.482421875,,0.0
752,stimulus/compatible/target_right,0.443359375,,,0.0,,
754,stimulus/compatible/target_right,,0.42578125,,0.0,1.4501953125,
756,stimulus/incompatible/target_left,0.53515625,,,,0.0,1.44921875
758,stimulus/incompatible/target_right,0.58203125,,,,1.482421875,0.0
760,stimulus/incompatible/target_left,0.5556640625,,,1.466796875,0.0,
762,stimulus/compatible/target_right,,0.376953125,,0.0,1.4326171875,
764,stimulus/incompatible/target_left,0.5126953125,,1.482421875,,0.0,
766,stimulus/compatible/target_left,0.3896484375,,0.0,,,
768,stimulus/compatible/target_right,,0.447265625,,0.0,1.4658203125,
770,stimulus/incompatible/target_left,0.5810546875,,,1.4833984375,0.0,
772,stimulus/compatible/target_right,,0.361328125,,0.0,,
774,stimulus/compatible/target_right,,0.41015625,,0.0,,1.4658203125
776,stimulus/incompatible/target_right,0.400390625,,,,,0.0
778,stimulus/incompatible/target_right,0.3203125,,,,,0.0
780,stimulus/incompatible/target_right,,0.478515625,,,,0.0
782,stimulus/compatible/target_right,,0.3603515625,,0.0,,1.4833984375
784,stimulus/incompatible/target_right,,0.732421875,,,,0.0
786,stimulus/incompatible/target_right,,0.4521484375,,,,0.0
788,stimulus/compatible/target_right,,0.3974609375,,0.0,,1.4326171875
790,stimulus/incompatible/target_right,,0.548828125,,,,0.0
792,stimulus/compatible/target_left,0.49609375,,0.0,,,
794,stimulus/compatible/target_left,,1.4375,0.0,,1.4658203125,
796,stimulus/incompatible/target_left,0.5478515625,,,,0.0,1.4658203125
798,stimulus/incompatible/target_right,,0.42578125,1.416015625,,,0.0
800,stimulus/compatible/target_left,0.40234375,,0.0,,,
