,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,stimulus,response,first_stimulus,first_response
512,stimulus/compatible/target_right,0.287109375,,,0.0,1.416015625,,0.0,0.287109375,compatible/target_right,left
514,stimulus/incompatible/target_left,,0.294921875,,1.44921875,0.0,,0.0,0.294921875,incompatible/target_left,right
516,stimulus/compatible/target_right,,0.326171875,1.4326171875,0.0,,,0.0,0.326171875,compatible/target_right,right
518,stimulus/compatible/target_left,0.3974609375,,0.0,,,,0.0,0.3974609375,compatible/target_left,left
520,stimulus/incompatible/target_right,0.3095703125,,,1.4833984375,,0.0,0.0,0.3095703125,incompatible/target_right,left
522,stimulus/compatible/target_right,,0.345703125,,0.0,,1.4326171875,0.0,0.345703125,compatible/target_right,right
524,stimulus/incompatible/target_right,,0.3291015625,,,,0.0,0.0,0.3291015625,incompatible/target_right,right
526,stimulus/compatible/target_right,,0.3740234375,,0.0,,,0.0,0.3740234375,compatible/target_right,right
528,stimulus/incompatible/target_right,0.4462890625,,1.4833984375,,,0.0,0.0,0.4462890625,incompatible/target_right,left
530,stimulus/compatible/target_left,0.5712890625,,0.0,,,,0.0,0.5712890625,compatible/target_left,left
532,stimulus/compatible/target_left,0.369140625,,0.0,,1.416015625,,0.0,0.369140625,compatible/target_left,left
534,stimulus/incompatible/target_left,0.44921875,,,,0.0,1.4658203125,0.0,0.44921875,incompatible/target_left,left
536,stimulus/incompatible/target_right,,0.416015625,,,,0.0,0.0,0.416015625,incompatible/target_right,right
538,stimulus/compatible/target_right,,0.322265625,1.482421875,0.0,,,0.0,0.322265625,compatible/target_right,right
540,stimulus/compatible/target_left,0.3837890625,,0.0,,,1.4833984375,0.0,0.3837890625,compatible/target_left,left
542,stimulus/incompatible/target_right,,0.30078125,,,,0.0,0.0,0.30078125,incompatible/target_right,right
