,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,stimulus,response,first_stimulus,first_response
96,stimulus/compatible/target_right,,0.3662109375,,0.0,1.4501953125,,0.0,0.3662109375,compatible/target_right,right
98,stimulus/incompatible/target_left,0.4765625,,,,0.0,,0.0,0.4765625,incompatible/target_left,left
100,stimulus/compatible/target_left,0.3681640625,,0.0,,1.4326171875,,0.0,0.3681640625,compatible/target_left,left
102,stimulus/incompatible/target_left,0.455078125,,,,0.0,,0.0,0.455078125,incompatible/target_left,left
104,stimulus/incompatible/target_left,,0.314453125,,,0.0,,0.0,0.314453125,incompatible/target_left,right
106,stimulus/compatible/target_left,0.3505859375,,0.0,,,,0.0,0.3505859375,compatible/target_left,left
108,stimulus/compatible/target_right,,0.48828125,,0.0,,,0.0,0.48828125,compatible/target_right,right
110,stimulus/incompatible/target_right,0.38671875,,1.4658203125,,,0.0,0.0,0.38671875,incompatible/target_right,left
112,stimulus/compatible/target_left,0.3603515625,,0.0,,1.4326171875,,0.0,0.3603515625,compatible/target_left,left
114,stimulus/incompatible/target_left,0.431640625,,,,0.0,1.466796875,0.0,0.431640625,incompatible/target_left,left
116,stimulus/incompatible/target_right,,0.4130859375,,1.3994140625,,0.0,0.0,0.4130859375,incompatible/target_right,right
118,stimulus/compatible/target_right,,0.3662109375,,0.0,,,0.0,0.3662109375,compatible/target_right,right
120,stimulus/compatible/target_left,0.2861328125,,0.0,,,,0.0,0.2861328125,compatible/target_left,left
122,stimulus/compatible/target_left,0.30859375,,0.0,,1.416015625,,0.0,0.30859375,compatible/target_left,left
124,stimulus/incompatible/target_left,0.4521484375,,,1.44921875,0.0,,0.0,0.4521484375,incompatible/target_left,left
126,stimulus/compatible/target_right,,0.35546875,,0.0,,,0.0,0.35546875,compatible/target_right,right
128,stimulus/incompatible/target_left,0.3798828125,,,1.3994140625,0.0,,0.0,0.3798828125,incompatible/target_left,left
130,stimulus/compatible/target_right,,0.404296875,,0.0,,,0.0,0.404296875,compatible/target_right,right
132,stimulus/compatible/target_right,,0.3447265625,,0.0,,1.4658203125,0.0,0.3447265625,compatible/target_right,right
134,stimulus/incompatible/target_right,0.3583984375,,,,,0.0,0.0,0.3583984375,incompatible/target_right,left
136,stimulus/incompatible/target_right,,0.5,,,,0.0,0.0,0.5,incompatible/target_right,right
138,stimulus/incompatible/target_right,,0.4306640625,,,,0.0,0.0,0.4306640625,incompatible/target_right,right
140,stimulus/compatible/target_left,0.3603515625,,0.0,,,,0.0,0.3603515625,compatible/target_left,left
142,stimulus/incompatible/target_right,,0.5634765625,,,,0.0,0.0,0.5634765625,incompatible/target_right,right
144,stimulus/incompatible/target_right,,0.47265625,,,,0.0,0.0,0.47265625,incompatible/target_right,right
146,stimulus/incompatible/target_right,,0.43359375,1.466796875,,,0.0,0.0,0.43359375,incompatible/target_right,right
148,stimulus/compatible/target_left,0.4462890625,,0.0,,,,0.0,0.4462890625,compatible/target_left,left
150,stimulus/incompatible/target_right,,0.43359375,,,1.43359375,0.0,0.0,0.43359375,incompatible/target_right,right
152,stimulus/incompatible/target_left,0.423828125,,,,0.0,,0.0,0.423828125,incompatible/target_left,left
154,stimulus/incompatible/target_left,0.4541015625,,,,0.0,,0.0,0.4541015625,incompatible/target_left,left
156,stimulus/incompatible/target_left,0.4345703125,,,,0.0,,0.0,0.4345703125,incompatible/target_left,left
158,stimulus/incompatible/target_right,0.3076171875,,,,,0.0,0.0,0.3076171875,incompatible/target_right,left
160,stimulus/incompatible/target_left,0.6044921875,,,,0.0,,0.0,0.6044921875,incompatible/target_left,left
162,stimulus/incompatible/target_right,,0.4267578125,1.44921875,,,0.0,0.0,0.4267578125,incompatible/target_right,right
164,stimulus/compatible/target_left,0.4091796875,,0.0,,,,0.0,0.4091796875,compatible/target_left,left
166,stimulus/incompatible/target_right,,0.41015625,,1.416015625,,0.0,0.0,0.41015625,incompatible/target_right,right
168,stimulus/compatible/target_right,,0.3544921875,,0.0,,,0.0,0.3544921875,compatible/target_right,right
170,stimulus/compatible/target_right,,0.3671875,,0.0,,1.44921875,0.0,0.3671875,compatible/target_right,right
172,stimulus/incompatible/target_right,,0.4462890625,,,,0.0,0.0,0.4462890625,incompatible/target_right,right
174,stimulus/incompatible/target_right,,0.4228515625,,,1.4326171875,0.0,0.0,0.4228515625,incompatible/target_right,right
176,stimulus/incompatible/target_left,,0.3583984375,,,0.0,,0.0,0.3583984375,incompatible/target_left,right
178,stimulus/incompatible/target_right,,0.5146484375,,,,0.0,0.0,0.5146484375,incompatible/target_right,right
180,stimulus/incompatible/target_left,,0.3251953125,,,0.0,,0.0,0.3251953125,incompatible/target_left,right
182,stimulus/incompatible/target_right,,0.3271484375,,,,0.0,0.0,0.3271484375,incompatible/target_right,right
184,stimulus/incompatible/target_left,0.44921875,,,,0.0,,0.0,0.44921875,incompatible/target_left,left
186,stimulus/compatible/target_right,,0.5849609375,1.44921875,0.0,,,0.0,0.5849609375,compatible/target_right,right
188,stimulus/compatible/target_left,0.416015625,,0.0,,1.43359375,,0.0,0.416015625,compatible/target_left,left
190,stimulus/incompatible/target_left,0.4140625,,,,0.0,,0.0,0.4140625,incompatible/target_left,left
192,stimulus/incompatible/target_right,,0.3857421875,,,1.5,0.0,0.0,0.3857421875,incompatible/target_right,right
194,stimulus/incompatible/target_left,0.486328125,,,,0.0,,0.0,0.486328125,incompatible/target_left,left
196,stimulus/compatible/target_left,0.41796875,,0.0,,,,0.0,0.41796875,compatible/target_left,left
198,stimulus/incompatible/target_left,,0.4921875,,,0.0,,0.0,0.4921875,incompatible/target_left,right
200,stimulus/incompatible/target_left,0.509765625,,1.4326171875,,0.0,,0.0,0.509765625,incompatible/target_left,left
202,stimulus/compatible/target_left,0.3564453125,,0.0,,,,0.0,0.3564453125,compatible/target_left,left
204,stimulus/incompatible/target_right,0.3115234375,,,,,0.0,0.0,0.3115234375,incompatible/target_right,left
206,stimulus/incompatible/target_left,0.4248046875,,,,0.0,,0.0,0.4248046875,incompatible/target_left,left
208,stimulus/incompatible/target_right,,0.42578125,,,,0.0,0.0,0.42578125,incompatible/target_right,right
210,stimulus/incompatible/target_left,0.25,,,1.482421875,0.0,,0.0,0.25,incompatible/target_left,left
212,stimulus/compatible/target_right,,0.375,,0.0,,,0.0,0.375,compatible/target_right,right
214,stimulus/compatible/target_right,,0.36328125,,0.0,,1.416015625,0.0,0.36328125,compatible/target_right,right
216,stimulus/incompatible/target_right,,0.443359375,1.4326171875,,,0.0,0.0,0.443359375,incompatible/target_right,right
218,stimulus/compatible/target_left,0.3623046875,,0.0,,,,0.0,0.3623046875,compatible/target_left,left
220,stimulus/compatible/target_left,0.3115234375,,0.0,,,,0.0,0.3115234375,compatible/target_left,left
222,stimulus/incompatible/target_left,,0.3759765625,,,0.0,,0.0,0.3759765625,incompatible/target_left,right
224,stimulus/compatible/target_right,,0.3388671875,,0.0,,,0.0,0.3388671875,compatible/target_right,right
226,stimulus/compatible/target_left,0.421875,,0.0,1.4501953125,,,0.0,0.421875,compatible/target_left,left
228,stimulus/compatible/target_right,,0.4033203125,,0.0,,,0.0,0.4033203125,compatible/target_right,right
230,stimulus/compatible/target_right,,0.34765625,,0.0,,,0.0,0.34765625,compatible/target_right,right
232,stimulus/compatible/target_left,0.3994140625,,0.0,1.416015625,,,0.0,0.3994140625,compatible/target_left,left
234,stimulus/compatible/target_right,,0.359375,,0.0,,,0.0,0.359375,compatible/target_right,right
236,stimulus/compatible/target_right,,0.3330078125,,0.0,,,0.0,0.3330078125,compatible/target_right,right
238,stimulus/compatible/target_left,0.2802734375,,0.0,,,,0.0,0.2802734375,compatible/target_left,left
240,stimulus/compatible/target_left,0.2763671875,,0.0,,,,0.0,0.2763671875,compatible/target_left,left
242,stimulus/incompatible/target_right,,0.4619140625,1.4169921875,,,0.0,0.0,0.4619140625,incompatible/target_right,right
244,stimulus/compatible/target_left,0.3408203125,,0.0,,,,0.0,0.3408203125,compatible/target_left,left
246,stimulus/compatible/target_right,,0.318359375,,0.0,,,0.0,0.318359375,compatible/target_right,right
248,stimulus/compatible/target_right,,0.404296875,,0.0,,,0.0,0.404296875,compatible/target_right,right
250,stimulus/compatible/target_right,,0.37109375,,0.0,,,0.0,0.37109375,compatible/target_right,right
252,stimulus/incompatible/target_left,0.373046875,,,,0.0,,0.0,0.373046875,incompatible/target_left,left
254,stimulus/incompatible/target_left,0.419921875,,1.4990234375,,0.0,,0.0,0.419921875,incompatible/target_left,left
256,stimulus/compatible/target_left,0.2724609375,,0.0,,1.4501953125,,0.0,0.2724609375,compatible/target_left,left
258,stimulus/incompatible/target_left,0.2861328125,,,,0.0,,0.0,0.2861328125,incompatible/target_left,left
260,stimulus/incompatible/target_left,0.4560546875,,,,0.0,,0.0,0.4560546875,incompatible/target_left,left
262,stimulus/compatible/target_right,,0.345703125,,0.0,,,0.0,0.345703125,compatible/target_right,right
264,stimulus/compatible/target_left,0.2763671875,,0.0,,,,0.0,0.2763671875,compatible/target_left,left
266,stimulus/incompatible/target_left,0.439453125,,,,0.0,,0.0,0.439453125,incompatible/target_left,left
268,stimulus/incompatible/target_left,0.37109375,,,1.4658203125,0.0,,0.0,0.37109375,incompatible/target_left,left
270,stimulus/compatible/target_right,,0.3291015625,,0.0,1.44921875,,0.0,0.3291015625,compatible/target_right,right
272,stimulus/incompatible/target_left,,0.3359375,,,0.0,,0.0,0.3359375,incompatible/target_left,right
274,stimulus/incompatible/target_left,0.396484375,,,,0.0,1.4990234375,0.0,0.396484375,incompatible/target_left,left
276,stimulus/incompatible/target_right,,0.41796875,,,,0.0,0.0,0.41796875,incompatible/target_right,right
278,stimulus/incompatible/target_right,0.2060546875,,,,,0.0,0.0,0.2060546875,incompatible/target_right,left
280,stimulus/incompatible/target_right,,0.4853515625,,1.4990234375,,0.0,0.0,0.4853515625,incompatible/target_right,right
282,stimulus/compatible/target_right,,0.3701171875,,0.0,,1.466796875,0.0,0.3701171875,compatible/target_right,right
284,stimulus/incompatible/target_right,,0.462890625,,,,0.0,0.0,0.462890625,incompatible/target_right,right
286,stimulus/compatible/target_left,0.3544921875,,0.0,,,,0.0,0.3544921875,compatible/target_left,left
288,stimulus/compatible/target_left,0.361328125,,0.0,,,,0.0,0.361328125,compatible/target_left,left
290,stimulus/compatible/target_left,0.31640625,,0.0,1.4990234375,,,0.0,0.31640625,compatible/target_left,left
292,stimulus/compatible/target_right,0.296875,,,0.0,,,0.0,0.296875,compatible/target_right,left
294,stimulus/compatible/target_left,0.3798828125,,0.0,,,,0.0,0.3798828125,compatible/target_left,left
296,stimulus/incompatible/target_right,0.3173828125,,,1.4326171875,,0.0,0.0,0.3173828125,incompatible/target_right,left
298,stimulus/compatible/target_right,,0.380859375,,0.0,1.4990234375,,0.0,0.380859375,compatible/target_right,right
300,stimulus/incompatible/target_left,0.3857421875,,,,0.0,1.466796875,0.0,0.3857421875,incompatible/target_left,left
302,stimulus/incompatible/target_right,0.302734375,,,,,0.0,0.0,0.302734375,incompatible/target_right,left
304,stimulus/incompatible/target_right,,0.37109375,1.4501953125,,,0.0,0.0,0.37109375,incompatible/target_right,right
306,stimulus/compatible/target_left,0.3681640625,,0.0,,,,0.0,0.3681640625,compatible/target_left,left
308,stimulus/compatible/target_right,,0.3623046875,,0.0,,1.466796875,0.0,0.3623046875,compatible/target_right,right
310,stimulus/incompatible/target_right,,0.2958984375,,,,0.0,0.0,0.2958984375,incompatible/target_right,right
312,stimulus/incompatible/target_right,0.353515625,,,,1.4833984375,0.0,0.0,0.353515625,incompatible/target_right,left
314,stimulus/incompatible/target_left,0.4462890625,,,,0.0,,0.0,0.4462890625,incompatible/target_left,left
316,stimulus/compatible/target_left,0.4169921875,,0.0,1.4169921875,,,0.0,0.4169921875,compatible/target_left,left
318,stimulus/compatible/target_right,,0.3759765625,,0.0,,,0.0,0.3759765625,compatible/target_right,right
320,stimulus/compatible/target_left,0.3408203125,,0.0,,,,0.0,0.3408203125,compatible/target_left,left
322,stimulus/incompatible/target_right,,0.47265625,,,1.44921875,0.0,0.0,0.47265625,incompatible/target_right,right
324,stimulus/incompatible/target_left,0.416015625,,,,0.0,,0.0,0.416015625,incompatible/target_left,left
326,stimulus/compatible/target_left,0.3056640625,,0.0,,,,0.0,0.3056640625,compatible/target_left,left
328,stimulus/compatible/target_left,0.3271484375,,0.0,,,,0.0,0.3271484375,compatible/target_left,left
330,stimulus/compatible/target_left,0.314453125,,0.0,,,1.44921875,0.0,0.314453125,compatible/target_left,left
332,stimulus/incompatible/target_right,0.3046875,,,,1.416015625,0.0,0.0,0.3046875,incompatible/target_right,left
334,stimulus/incompatible/target_left,0.3603515625,,,,0.0,1.43359375,0.0,0.3603515625,incompatible/target_left,left
336,stimulus/incompatible/target_right,,0.431640625,,,1.482421875,0.0,0.0,0.431640625,incompatible/target_right,right
338,stimulus/incompatible/target_left,0.3642578125,,,,0.0,1.44921875,0.0,0.3642578125,incompatible/target_left,left
340,stimulus/incompatible/target_right,,0.458984375,,,,0.0,0.0,0.458984375,incompatible/target_right,right
342,stimulus/incompatible/target_right,0.3203125,,,,,0.0,0.0,0.3203125,incompatible/target_right,left
344,stimulus/compatible/target_left,0.38671875,,0.0,1.4501953125,,,0.0,0.38671875,compatible/target_left,left
346,stimulus/compatible/target_right,,0.3447265625,,0.0,1.482421875,,0.0,0.3447265625,compatible/target_right,right
348,stimulus/incompatible/target_left,,0.349609375,,,0.0,,0.0,0.349609375,incompatible/target_left,right
350,stimulus/compatible/target_left,0.3603515625,,0.0,,,,0.0,0.3603515625,compatible/target_left,left
352,stimulus/compatible/target_left,0.3759765625,,0.0,,,,0.0,0.3759765625,compatible/target_left,left
354,stimulus/incompatible/target_right,0.38671875,,,,,0.0,0.0,0.38671875,incompatible/target_right,left
356,stimulus/compatible/target_left,0.349609375,,0.0,,,,0.0,0.349609375,compatible/target_left,left
358,stimulus/compatible/target_right,,0.3173828125,,0.0,1.416015625,,0.0,0.3173828125,compatible/target_right,right
360,stimulus/incompatible/target_left,,0.28515625,,,0.0,,0.0,0.28515625,incompatible/target_left,right
362,stimulus/incompatible/target_left,0.466796875,,,1.5,0.0,,0.0,0.466796875,incompatible/target_left,left
364,stimulus/compatible/target_right,,0.3828125,,0.0,,,0.0,0.3828125,compatible/target_right,right
366,stimulus/compatible/target_right,,0.41015625,1.4501953125,0.0,,,0.0,0.41015625,compatible/target_right,right
368,stimulus/compatible/target_left,0.3681640625,,0.0,,,,0.0,0.3681640625,compatible/target_left,left
370,stimulus/incompatible/target_right,,0.412109375,,1.466796875,,0.0,0.0,0.412109375,incompatible/target_right,right
372,stimulus/compatible/target_right,,0.4013671875,,0.0,,,0.0,0.4013671875,compatible/target_right,right
374,stimulus/compatible/target_right,,0.47265625,,0.0,1.4990234375,,0.0,0.47265625,compatible/target_right,right
376,stimulus/incompatible/target_left,0.4052734375,,,,0.0,,0.0,0.4052734375,incompatible/target_left,left
378,stimulus/incompatible/target_left,,0.3818359375,,1.4658203125,0.0,,0.0,0.3818359375,incompatible/target_left,right
380,stimulus/compatible/target_right,,0.3876953125,,0.0,,,0.0,0.3876953125,compatible/target_right,right
382,stimulus/compatible/target_left,0.3916015625,,0.0,,,,0.0,0.3916015625,compatible/target_left,left
384,stimulus/compatible/target_left,0.4677734375,,0.0,1.4169921875,,,0.0,0.4677734375,compatible/target_left,left
386,stimulus/compatible/target_right,,0.443359375,,0.0,,,0.0,0.443359375,compatible/target_right,right
388,stimulus/compatible/target_right,,0.375,,0.0,,1.3994140625,0.0,0.375,compatible/target_right,right
390,stimulus/incompatible/target_right,,0.455078125,,,,0.0,0.0,0.455078125,incompatible/target_right,right
392,stimulus/compatible/target_right,,0.322265625,,0.0,,,0.0,0.322265625,compatible/target_right,right
